id,label,selected_by_train,offensive_scheme,offensive_top_n,fast_crash_5d,defensive_pool,defensive_filter,defensive_top_n,fee_mult,full_return,full_cagr,full_max_drawdown,full_sharpe,train_return,train_cagr,train_max_drawdown,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,trades
top2_equal_fastm5_overseas_gold_ma120_ret6_deftop2,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普+黄金 Top2｜MA120+6月正,False,top2_equal,2,-0.05,overseas_gold,ma120_ret6,2,1.0,1.4031873384046238,0.19193197321982614,-0.3125611844468459,0.8393485760417015,0.36118130372883894,0.13330698797597051,-0.19000612783662096,0.765515976322404,0.25194843127385114,-0.3125611844468459,0.9210070261053146,207
top2_equal_fastm5_overseas_gold_ma200_ret12_deftop1,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普+黄金 Top1｜MA200+12月正,False,top2_equal,2,-0.05,overseas_gold,ma200_ret12,1,1.0,1.4523818353118365,0.19677837621583594,-0.36092117966725257,0.8414599955853345,0.49183376580244365,0.1762551617430792,-0.14818862238322472,0.6438707123596461,0.2171127252905436,-0.36092117966725257,0.8148911224422897,195
top2_equal_fastm5_overseas_gold_ma200_ret12_deftop2,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普+黄金 Top2｜MA200+12月正,False,top2_equal,2,-0.05,overseas_gold,ma200_ret12,2,1.0,1.9992758796432297,0.24600839372004613,-0.3125611844468459,1.0168037555083818,0.5524819830937142,0.19543219839067283,-0.12932804270232467,0.9319231477755459,0.2973273015543667,-0.3125611844468459,1.0380123293052905,211
top2_equal_fastm7_overseas_ma120_ret6_deftop1,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普 Top1｜MA120+6月正,False,top2_equal,2,-0.07,overseas,ma120_ret6,1,1.0,2.3035365015276548,0.2703513679038818,-0.2438761595643213,1.043748025933064,0.45435738191992536,0.1641725928369402,-0.23427042470162707,1.2714750463648712,0.38307510493323393,-0.2438761595643213,1.2200159665195236,144
top2_equal_fastm7_overseas_ma120_ret6_deftop2,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普 Top2｜MA120+6月正,False,top2_equal,2,-0.07,overseas,ma120_ret6,2,1.0,2.3999137981825376,0.27768765872417256,-0.2344428397834999,1.0716637068083565,0.4653500665845245,0.1677356707815325,-0.22330247845901585,1.320205850952151,0.3947288492776493,-0.2344428397834999,1.2464883601805026,141
top2_equal_fastm7_overseas_ma200_ret12_deftop1,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普 Top1｜MA200+12月正,True,top2_equal,2,-0.07,overseas,ma200_ret12,1,1.0,2.990694109281206,0.31934377703895533,-0.24387615956432096,1.1912682466207614,0.6622548696535093,0.22904121905607866,-0.14818862238322472,1.4007714954765338,0.4136754554983293,-0.24387615956432096,1.2887028683910347,144
top2_equal_fastm7_overseas_ma200_ret12_deftop2,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普 Top2｜MA200+12月正,True,top2_equal,2,-0.07,overseas,ma200_ret12,2,1.0,3.15061699922619,0.32976539511481673,-0.23444283978349967,1.2298936079262384,0.6922126768129415,0.23798285892662396,-0.12932804270232467,1.4527750300531537,0.4257016721026299,-0.23444283978349967,1.315394316753158,137
top2_equal_fastm7_overseas_gold_ma120_ret6_deftop1,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top1｜MA120+6月正,False,top2_equal,2,-0.07,overseas_gold,ma120_ret6,1,1.0,2.1427570069941284,0.25772256426952733,-0.2506738143852252,1.0026569789286033,0.4110755628772411,0.14998581896830943,-0.1665796719587701,1.2272067419167247,0.37235676880421087,-0.2506738143852252,1.1917727927133213,162
top2_equal_fastm7_overseas_gold_ma120_ret6_deftop2,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top2｜MA120+6月正,False,top2_equal,2,-0.07,overseas_gold,ma120_ret6,2,1.0,2.298654350153171,0.2699752030776652,-0.21910766190415443,1.046744461501001,0.39807105149990507,0.14567284087030474,-0.19000612783662096,1.359432552883665,0.40400264596035895,-0.21910766190415443,1.267432246967674,166
top2_equal_fastm7_overseas_gold_ma200_ret12_deftop1,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top1｜MA200+12月正,False,top2_equal,2,-0.07,overseas_gold,ma200_ret12,1,1.0,2.6351382717306047,0.2949186130203294,-0.2506738143852253,1.1101757229972817,0.5447873933492622,0.1930241109445192,-0.14818862238322472,1.3531641230248783,0.40252698496095873,-0.2506738143852253,1.258522227011957,166
top2_equal_fastm7_overseas_gold_ma200_ret12_deftop2,进攻top2_equal｜2/4指数5日<= -7%｜弱市纳指+标普+黄金 Top2｜MA200+12月正,True,top2_equal,2,-0.07,overseas_gold,ma200_ret12,2,1.0,3.1674123847369877,0.3308411569680063,-0.21910766190415432,1.2233655295422083,0.6094180355997625,0.21303439126066692,-0.12932804270232467,1.5893908807750923,0.45657817116922295,-0.21910766190415432,1.3823799634228913,169
top2_equal_fastm9_overseas_ma120_ret6_deftop1,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top1｜MA120+6月正,False,top2_equal,2,-0.09,overseas,ma120_ret6,1,1.0,2.392819426316065,0.2771533419481669,-0.24963740997945238,1.0550224329059577,0.45435738191992536,0.1641725928369402,-0.23427042470162707,1.332864994872951,0.3977319570370592,-0.24963740997945238,1.2391803459960073,131
top2_equal_fastm9_overseas_ma120_ret6_deftop2,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top2｜MA120+6月正,False,top2_equal,2,-0.09,overseas,ma120_ret6,2,1.0,2.478980468856428,0.28358306927306365,-0.24306547714407056,1.0794022556155645,0.4653500665845245,0.1677356707815325,-0.22330247845901585,1.3741633812904004,0.40746114706368664,-0.24306547714407056,1.2598450969488952,124
top2_equal_fastm9_overseas_ma200_ret12_deftop1,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top1｜MA200+12月正,True,top2_equal,2,-0.09,overseas,ma200_ret12,1,1.0,3.09854847742508,0.3264080762192012,-0.24963740997945238,1.2008612772154785,0.6622548696535093,0.22904121905607866,-0.14818862238322472,1.4656558703776916,0.42865658848246047,-0.24963740997945238,1.3067645007899664,131
top2_equal_fastm9_overseas_ma200_ret12_deftop2,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普 Top2｜MA200+12月正,True,top2_equal,2,-0.09,overseas,ma200_ret12,2,1.0,3.247141642747067,0.33590109884833974,-0.24306547714407034,1.2356831622559523,0.6922126768129415,0.23798285892662396,-0.12932804270232467,1.5098155219744576,0.4387167167492392,-0.24306547714407034,1.3276138427631794,120
top2_equal_fastm9_overseas_gold_ma120_ret6_deftop1,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top1｜MA120+6月正,False,top2_equal,2,-0.09,overseas_gold,ma120_ret6,1,1.0,2.137020968015254,0.25726255272545817,-0.26664834409246196,0.9946315125261567,0.4110755628772411,0.14998581896830943,-0.1665796719587701,1.223141729999731,0.3713661047530856,-0.26664834409246196,1.1778861319730194,149
top2_equal_fastm9_overseas_gold_ma120_ret6_deftop2,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top2｜MA120+6月正,False,top2_equal,2,-0.09,overseas_gold,ma120_ret6,2,1.0,2.2805440735256894,0.2685759236228884,-0.23856124497972842,1.0349552879260788,0.39807105149990507,0.14567284087030474,-0.19000612783662096,1.3464787930528952,0.40095055903338106,-0.23856124497972842,1.2471090950832038,149
top2_equal_fastm9_overseas_gold_ma200_ret12_deftop1,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top1｜MA200+12月正,False,top2_equal,2,-0.09,overseas_gold,ma200_ret12,1,1.0,2.4342813181322516,0.2802635170638983,-0.2666483440924622,1.0624858956287953,0.5447873933492622,0.1930241109445192,-0.14818862238322472,1.2231417299997296,0.3713661047530854,-0.2666483440924622,1.1778861319730176,151
top2_equal_fastm9_overseas_gold_ma200_ret12_deftop2,进攻top2_equal｜2/4指数5日<= -9%｜弱市纳指+标普+黄金 Top2｜MA200+12月正,True,top2_equal,2,-0.09,overseas_gold,ma200_ret12,2,1.0,2.9226888290050397,0.3148106557555719,-0.2385612449797283,1.171094428477981,0.6094180355997625,0.21303439126066692,-0.12932804270232467,1.43733370835702,0.42214697720720507,-0.2385612449797283,1.2950652437167205,150
top3_45_45_10_fastoff_overseas_ma120_ret6_deftop1,进攻top3_45_45_10｜无紧急闸门｜弱市纳指+标普 Top1｜MA120+6月正,False,top3_45_45_10,3,0.0,overseas,ma120_ret6,1,1.0,2.940714049916611,0.31601827158781703,-0.24479479295240603,1.159181428227284,0.3724797140858689,0.13711526998428814,-0.24479479295240603,1.8712366452288864,0.51729875570241,-0.19927627609543852,1.4698910594779413,178
